name,port,protocol
tinc,655,udp
silc,706,tcp
kerberos-adm,749,tcp
domain-s,853,tcp
domain-s,853,udp
rsync,873,tcp
ftps-data,989,tcp
ftps,990,tcp
telnets,992,tcp
imaps,993,tcp
pop3s,995,tcp
socks,1080,tcp
proofd,1093,tcp
rootd,1094,tcp
openvpn,1194,tcp
openvpn,1194,udp
rmiregistry,1099,tcp
lotusnote,1352,tcp
ms-sql-s,1433,tcp
ms-sql-s,1433,udp
ms-sql-m,1434,tcp
ms-sql-m,1434,udp
ingreslock,1524,tcp
datametrics,1645,tcp
datametrics,1645,udp
sa-msg-port,1646,tcp
sa-msg-port,1646,udp
kermit,1649,tcp
groupwise,1677,tcp
l2f,1701,udp
radius,1812,tcp
radius,1812,udp
radius-acct,1813,tcp
radius-acct,1813,udp
cisco-sccp,2000,tcp
nfs,2049,tcp
nfs,2049,udp
gnunet,2086,tcp
gnunet,2086,udp
rtcm-sc104,2101,tcp
rtcm-sc104,2101,udp
gsigatekeeper,2119,tcp
gris,2135,tcp
cvspserver,2401,tcp
venus,2430,tcp
venus,2430,udp
venus-se,2431,tcp
venus-se,2431,udp
codasrv,2432,tcp
codasrv,2432,udp
codasrv-se,2433,tcp
codasrv-se,2433,udp
mon,2583,tcp
mon,2583,udp
dict,2628,tcp
f5-globalsite,2792,tcp
gsiftp,2811,tcp
gpsd,2947,tcp
gds-db,3050,tcp
icpv2,3130,tcp
icpv2,3130,udp
isns,3205,tcp
isns,3205,udp
iscsi-target,3260,tcp
mysql,3306,tcp
ms-wbt-server,3389,tcp
nut,3493,tcp
nut,3493,udp
distcc,3632,tcp
distcc,3632,udp
daap,3689,tcp
daap,3689,udp
svn,3690,tcp
svn,3690,udp
suucp,4031,tcp
suucp,4031,udp
sysrqd,4094,tcp
sysrqd,4094,udp
sieve,4190,tcp
epmd,4369,tcp
epmd,4369,udp
remctl,4373,tcp
remctl,4373,udp
f5-iquery,4353,tcp
f5-iquery,4353,udp
ipsec-nat-t,4500,udp
iax,4569,tcp
iax,4569,udp
mtn,4691,tcp
mtn,4691,udp
radmin-port,4899,tcp
radmin-port,4899,udp
sip,5060,tcp
sip,5060,udp
sip-tls,5061,tcp
sip-tls,5061,udp
xmpp-client,5222,tcp
xmpp-server,5269,tcp
cfengine,5308,tcp
mdns,5353,udp
postgresql,5432,tcp
freeciv,5556,tcp
amqps,5671,tcp
amqp,5672,tcp
amqp,5672,udp
x11,6000,tcp
x11-1,6001,tcp
x11-2,6002,tcp
x11-3,6003,tcp
x11-4,6004,tcp
x11-5,6005,tcp
x11-6,6006,tcp
x11-7,6007,tcp
gnutella-svc,6346,tcp
gnutella-svc,6346,udp
gnutella-rtr,6347,tcp
gnutella-rtr,6347,udp
sge-qmaster,6444,tcp
sge-execd,6445,tcp
mysql-proxy,6446,tcp
babel,6696,udp
ircs-u,6697,tcp
afs3-fileserver,7000,tcp
afs3-fileserver,7000,udp
afs3-callback,7001,tcp
afs3-callback,7001,udp
afs3-prserver,7002,tcp
afs3-prserver,7002,udp
afs3-vlserver,7003,tcp
afs3-vlserver,7003,udp
afs3-kaserver,7004,tcp
afs3-kaserver,7004,udp
afs3-volser,7005,tcp
afs3-volser,7005,udp
afs3-errors,7006,tcp
afs3-errors,7006,udp
afs3-bos,7007,tcp
afs3-bos,7007,udp
afs3-update,7008,tcp
afs3-update,7008,udp
afs3-rmtsys,7009,tcp
afs3-rmtsys,7009,udp
font-service,7100,tcp
http-alt,8080,tcp
puppet,8140,tcp
bacula-dir,9101,tcp
bacula-fd,9102,tcp
bacula-sd,9103,tcp
xmms2,9667,tcp
nbd,10809,tcp
zabbix-agent,10050,tcp
zabbix-trapper,10051,tcp
amanda,10080,tcp
dicom,11112,tcp
hkp,11371,tcp
db-lsp,17500,tcp
dcap,22125,tcp
gsidcap,22128,tcp
wnn6,22273,tcp
kerberos4,750,udp
kerberos4,750,tcp
kerberos-master,751,udp
kerberos-master,751,tcp
passwd-server,752,udp
krb-prop,754,tcp
zephyr-srv,2102,udp
zephyr-clt,2103,udp
zephyr-hm,2104,udp
iprop,2121,tcp
supfilesrv,871,tcp
supfiledbg,1127,tcp
poppassd,106,tcp
poppassd,106,udp
moira-db,775,tcp
moira-update,777,tcp
moira-ureg,779,udp
spamd,783,tcp
skkserv,1178,tcp
predict,1210,udp
rmtcfg,1236,tcp
xtel,1313,tcp
xtelw,1314,tcp
support,1529,tcp
cfinger,2003,tcp
frox,2121,tcp
zebrasrv,2600,tcp
zebra,2601,tcp
ripd,2602,tcp
ripngd,2603,tcp
ospfd,2604,tcp
bgpd,2605,tcp
ospf6d,2606,tcp
ospfapi,2607,tcp
isisd,2608,tcp
afbackup,2988,tcp
afbackup,2988,udp
afmbackup,2989,tcp
afmbackup,2989,udp
fax,4557,tcp
hylafax,4559,tcp
distmp3,4600,tcp
munin,4949,tcp
enbd-cstatd,5051,tcp
enbd-sstatd,5052,tcp
pcrd,5151,tcp
noclog,5354,tcp
noclog,5354,udp
hostmon,5355,tcp
hostmon,5355,udp
rplay,5555,udp
nrpe,5666,tcp
nsca,5667,tcp
mrtd,5674,tcp
bgpsim,5675,tcp
canna,5680,tcp
syslog-tls,6514,tcp
